x,y,z,tempo
-17.587805,-0.6787562,4.5872903,10122
-9.545682,-1.1001357,2.9017725,10325
-10.980408,-0.8984242,1.4323312,10524
-8.2593975,-0.29388827,2.1577742,10721
-8.819042,-0.2669535,2.9281087,10923
-7.7811556,-2.2852654,5.2157683,11123
-7.28376,-2.8892028,6.341642,11322
-6.8683662,-2.7808652,6.069301,11522
-6.9252286,-2.697667,6.0357823,11722
-7.28795,-2.2469583,6.0770826,11922
-7.5225816,-2.2655134,5.865794,12121
-9.945514,-2.72939,5.4683566,12322
-3.602675,1.0809821,3.4865563,12519
0.32321724,-1.834557,4.5435963,12719
-2.2188265,-0.8523358,6.831256,12921
2.7455509,-4.6662993,7.813477,13118
3.7547069,-5.7766104,9.032724,13319
1.738789,-4.382586,9.381081,13521
2.6102784,-3.2148144,8.76637,13718
-1.3293805,-2.5360582,9.170391,13918
-0.6452374,-4.8057613,8.714894,14120
1.2808979,-4.6698904,9.2308445,14317
1.4945804,-2.4648306,10.476428,14517
2.6641479,0.5351041,9.607931,14720
6.269816,1.7830818,2.7024553,14917
6.0489507,0.9187749,-0.2813187,15126
9.31943,0.6943185,0.39205053,15319
9.269152,1.4993688,1.6238673,15517
9.102755,0.48961425,3.496133,15716
10.411784,1.4263457,2.6791117,15917
7.554305,1.7735049,-4.6645036,16116
5.856816,1.2551602,-8.261193,16315
4.586692,0.9804256,-8.480263,16519
2.059612,0.6171055,-10.309433,16715
1.5376761,0.5554548,-9.774927,16915
1.5227122,0.52253455,-9.841366,17117
1.6023195,0.5033809,-9.826403,17314
1.738789,0.53091425,-9.834184,17514
2.31639,0.6374562,-9.862914,17717
3.7481227,0.7260417,-9.414001,17913
5.357026,0.83258367,-8.74542,18114
9.056666,0.30945057,-4.5394063,18316
10.184934,1.3401544,-1.0576386,18513
9.802461,0.82001406,0.47884035,18713
9.597756,1.1168951,2.202067,18913
10.078392,-0.3333926,3.4847605,19113
10.314221,0.45908818,3.6433764,19312
5.7203465,1.2629414,2.9466639,19514
4.1018662,-1.6819267,7.5345526,19711
5.9980736,-2.1739352,10.653001,19911
4.947019,-1.6795325,8.177396,20112
5.4647655,-3.6792896,7.820061,20311
6.7851677,-3.544017,6.645705,20510
7.3591776,-3.7900212,5.977723,20713
16.196177,-2.3469162,7.3567834,20910
-2.248754,0.6985083,3.6284127,21110
-4.5783124,2.9694088,7.4932528,21313
-5.6042275,2.5300727,7.171831,21509
-15.877149,1.6801311,4.0462008,21709
-9.217078,1.4377182,3.5380316,21913
-9.800665,2.2152352,0.98102415,22110
-8.968679,2.3020248,0.40043023,22308
-8.902839,3.0723593,-1.5388732,22512
-9.661801,3.0502129,-1.9716251,22710
-9.495404,2.517503,-0.52971715,22909
-9.562442,1.9554642,1.1965023,23110
-9.196129,0.94331545,2.8401217,23309
-8.949526,0.107140526,3.3530796,23508
-8.557475,0.5943606,4.0503907,23709
-9.878476,0.35793316,0.99179804,23908
-8.583213,0.7374141,2.9753942,24108
-10.65719,1.4221559,0.29448682,24310
-9.326612,1.7753005,-0.92655605,24508
-9.15423,1.4131776,-2.3295584,24707
-9.088389,1.489792,-3.774459,24907
-9.478046,1.6723499,-4.2981906,25107
-10.037092,1.3640964,-3.8235402,25307
-9.184756,0.56982,-0.51714754,25516
-10.575189,0.8583213,0.18734628,25699
-10.33517,3.2740707,1.3371617,25906
-11.86686,-0.20350714,1.8848352,26108
-8.837597,-3.3153708,4.4526167,26306
-8.049306,-0.7290344,5.068525,26506
-8.056489,-1.0402806,5.865794,26708
-7.137714,-1.1563994,6.163274,26905
-7.611766,-1.5915456,6.1123967,27105
-6.915053,-0.7104794,6.6103907,27308
-6.401497,-1.6412252,7.6764092,27504
-4.395156,-2.6527755,7.839215,27704
-3.9761705,-2.7898436,9.509171,27907
0.11911154,-2.066196,4.420295,28099
0.010175358,-3.5727475,9.112331,28299
-1.1162965,-3.1381998,9.22426,28506
-0.02813187,-3.5488055,9.760562,28704
-1.8112136,-3.364452,9.880871,28904
-1.7112557,-2.088941,9.219472,29100
-1.192911,-3.0627825,8.990228,29297
-1.4437037,-3.4638114,9.062054,29503
-4.243124,-3.3315318,11.53706,29705
3.9019501,-1.2497733,3.7738605,29902
9.303269,-4.675277,10.835558,30097
7.0515227,-3.376423,5.499481,30302
9.339182,-2.6013002,2.724003,30503
10.019734,-0.91578215,1.0372878,30702
11.376049,0.86490536,-1.4586674,30904
10.650606,0.88525605,-1.8267759,31101
9.322423,0.7026982,-3.453636,31300
9.048885,0.76075757,-4.1581297,31503
8.787319,0.78050977,-4.3897686,31700
8.51857,0.8146271,-5.2929816,31900
8.800487,0.7799112,-4.7165775,32100
9.372103,0.9247604,-4.110844,32300
10.052056,-0.5422867,-2.3708582,32500
9.485827,-0.43993455,3.0933087,32702
4.827309,-0.15382746,3.0597897,32899
19.612701,-4.396951,9.272144,33099
7.888296,-1.7585411,5.7909756,33300
7.9565306,-2.2744915,6.1728506,33499
7.395689,-3.2196028,6.9066734,33699
6.739678,-3.448249,6.3751607,33898
13.700221,-3.4488475,7.4256167,34098
0.6895301,-0.9935937,4.8279076,34298
3.9133227,-0.83138657,11.23539,34500
1.4820108,-0.40342298,9.087193,34697
-2.480393,-0.11432313,8.6813755,34897
-4.5807066,1.9381063,5.1397524,35098
-6.5002575,0.219668,4.787206,35296
-8.990826,2.574964,2.7593174,35504
-9.320028,2.9083564,1.6567876,35697
-9.120711,2.6659436,2.0416555,35896
-9.035717,1.8423382,3.0119057,36096
-9.116522,1.6980876,2.9562407,36299
-8.893861,2.0231004,3.66253,36496
-8.6257105,2.3918076,4.048595,36696
-8.121731,1.9189527,4.2012253,36898
-9.072827,2.136825,4.0521865,37095
-7.7973166,0.074220255,6.060323,37295
-7.855974,-0.8643068,6.1279593,37496
-6.941988,-2.0296845,6.602011,37695
-6.4206505,-1.9111716,7.277176,37894
-3.6912606,-2.6330233,8.34918,38097
1.881244,-2.2260091,5.841852,38294
-0.79248077,-6.002862,12.871228,38494
0.99538934,-4.1293993,8.777742,38697
-0.4938041,-4.6112323,8.867524,38893
-1.4041992,-3.1974564,8.465299,39093
-1.4305356,-2.767697,8.764574,39295
-0.36750996,-3.970185,9.534908,39493
0.10534488,-4.3418846,8.897452,39693
0.7224504,-3.779846,8.453926,39895
2.730587,-1.7250223,9.983821,40093
2.835932,-0.7062895,11.596914,40291
3.2638955,0.6374562,7.8667483,40498
1.4012065,-0.24480712,10.081385,40691
1.2749124,0.6931214,9.41041,40891
2.3612814,-0.43873745,5.0900726,41094
4.7518916,-0.05566519,2.7018566,41290
17.073051,4.4699745,-0.094570965,41490
5.847239,0.9056068,-9.941922,41693
5.1900306,0.7062895,-8.22947,41890
4.282628,0.59974754,-8.770559,42090
2.7042508,0.51235914,-9.936536,42293
